GeneSet,Description,Gene
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,MPC1
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,MPC1L
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,MPC2
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,MRPS36
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,NEU4
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,OGDH
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,OGDHL
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,OXCT1
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,OXCT2
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PC
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PCCA
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PCCB
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PCK2
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDHA1
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDHA2
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDHB
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDHX
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDK1
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDK2
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDK3
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDK4
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDP1
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDP2
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,PDPR
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,RPIA
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SDHA
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SDHB
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SDHC
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SDHD
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SFXN5
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SLC25A1
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SLC25A10
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SLC25A11
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SLC25A12
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SLC25A13
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SUCLA2
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SUCLG1
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,SUCLG2
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,CYB5B
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,CYC1
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,CYCS
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,CYP11A1
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,CYP11B1
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,CYP11B2
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,CYP24A1
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,CYP27A1
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,CYP27B1
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,MT-CO1
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,MT-CYB
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,SDHC
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,SDHD
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,AGPAT4
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,AGPAT5
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,CRLS1
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,GPAM
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,GPAT2
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,HADHA
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,PGS1
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,PLD6
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,PLSCR3
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,PNPLA8
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,PRELID1
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,PRELID3A
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,PTPMT1
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,TAMM41
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,TAZ
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,TRIAP1
Carnitine_synthesis_and_transport,Metabolism.Metals_and_cofactors.Carnitine_synthesis_and_transport,CPT1A
Carnitine_synthesis_and_transport,Metabolism.Metals_and_cofactors.Carnitine_synthesis_and_transport,CPT1B
Carnitine_synthesis_and_transport,Metabolism.Metals_and_cofactors.Carnitine_synthesis_and_transport,CPT1C
Carnitine_synthesis_and_transport,Metabolism.Metals_and_cofactors.Carnitine_synthesis_and_transport,CPT2
Carnitine_synthesis_and_transport,Metabolism.Metals_and_cofactors.Carnitine_synthesis_and_transport,SLC25A20
Carnitine_synthesis_and_transport,Metabolism.Metals_and_cofactors.Carnitine_synthesis_and_transport,TMLHE
mtDNA_stability_and_decay,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_stability_and_decay,ENDOG
mtDNA_stability_and_decay,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_stability_and_decay,EXOG
mtDNA_stability_and_decay,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_stability_and_decay,MGME1
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,DNAJA3
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,DNLZ
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,FKBP10
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,HSPD1
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,HSPE1
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,MAIP1
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,NRDC
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,PHB
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,PHB2
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,TIMM10
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,TIMM10B
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,TIMM13
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,TIMM8A
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,TIMM8B
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,TIMM9
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,TRAP1
Vitamin_A_metabolism,Metabolism.Vitamin_metabolism.Vitamin_A_metabolism,AKR1B10
Vitamin_A_metabolism,Metabolism.Vitamin_metabolism.Vitamin_A_metabolism,BCO2
Vitamin_A_metabolism,Metabolism.Vitamin_metabolism.Vitamin_A_metabolism,DHRS4
Vitamin_A_metabolism,Metabolism.Vitamin_metabolism.Vitamin_A_metabolism,RDH13
Vitamin_A_metabolism,Metabolism.Vitamin_metabolism.Vitamin_A_metabolism,RDH14
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,DNA2
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,EXOG
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,LIG3
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,MGME1
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,POLG
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,POLG2
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,POLRMT
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,RNASEH1
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,SSBP1
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,TFAM
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,TFB2M
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,TOP1MT
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,TOP3A
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,TWNK
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,ALKBH1
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,CDK5RAP1
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,DUS2
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,GTPBP3
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,HSD17B10
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,MTO1
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,NSUN2
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,NSUN3
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,OSGEPL1
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,PUS1
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,QTRT1
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,RPUSD4
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,THG1L
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,TRIT1
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,TRMT1
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,TRMT10C
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,TRMT2B
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,TRMT5
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,TRMT61B
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,TRMU
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,TRNT1
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,YRDC
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,AIFM1
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,AIFM2
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,AIFM3
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BAD
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BAK1
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BAX
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BBC3
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BCL2
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BCL2A1
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BCL2L1
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BCL2L10
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BCL2L11
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BCL2L13
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BCL2L2
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BID
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BIK
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BNIP3
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BNIP3L
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,BOK
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,CASP3
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,CASP8
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,CASP9
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,CHCHD2
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,CYCS
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,DIABLO
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,ENDOG
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,GHITM
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,HTRA2
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,IFI27
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,MCL1
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,PMAIP1
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,RTL10
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,SEPTIN4
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,SPHK2
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,STYXL1
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,CEP89
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,CMC1
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,CMC2
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COA1
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COA3
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COA4
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COA5
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COA6
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COA7
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COA8
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COX10
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COX11
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COX14
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COX15
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COX16
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COX17
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COX18
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COX19
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,COX20
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,HIGD1A
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,PET100
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,PET117
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,PNKD
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,SCO1
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,SCO2
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,SMIM20
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,SURF1
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,TACO1
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,TIMM21
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,TMEM177
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ABAT
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ABCB10
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ABCB6
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ABCB7
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ACO2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,AIFM3
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ALAS1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ALAS2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,BOLA1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,BOLA3
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CHCHD7
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CISD1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CISD3
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COASY
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ10A
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ10B
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ3
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ4
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ5
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ6
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ7
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ8A
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ8B
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COQ9
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COX10
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COX11
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COX15
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COX17
Metals_and_cofactors,Metabolism.Metals_and_cofactors,COX19
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CPOX
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CPT1A
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CPT1B
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CPT1C
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CPT2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CYB5B
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CYC1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CYCS
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CYP11A1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CYP11B1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CYP11B2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CYP24A1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CYP27A1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,CYP27B1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,DNA2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ETFDH
Metals_and_cofactors,Metabolism.Metals_and_cofactors,FABP1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,FAM210B
Metals_and_cofactors,Metabolism.Metals_and_cofactors,FDX1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,FDX2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,FDXR
Metals_and_cofactors,Metabolism.Metals_and_cofactors,FECH
Metals_and_cofactors,Metabolism.Metals_and_cofactors,FTH1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,FTMT
Metals_and_cofactors,Metabolism.Metals_and_cofactors,FXN
Metals_and_cofactors,Metabolism.Metals_and_cofactors,GLRX2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,GLRX5
Metals_and_cofactors,Metabolism.Metals_and_cofactors,GRPEL1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,GRPEL2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,HCCS
Metals_and_cofactors,Metabolism.Metals_and_cofactors,HSCB
Metals_and_cofactors,Metabolism.Metals_and_cofactors,HSPA9
Metals_and_cofactors,Metabolism.Metals_and_cofactors,IBA57
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ISCA1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ISCA2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,ISCU
Metals_and_cofactors,Metabolism.Metals_and_cofactors,KMO
Metals_and_cofactors,Metabolism.Metals_and_cofactors,KYAT3
Metals_and_cofactors,Metabolism.Metals_and_cofactors,LIAS
Metals_and_cofactors,Metabolism.Metals_and_cofactors,LYRM4
Metals_and_cofactors,Metabolism.Metals_and_cofactors,MOCS1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,MT-CO1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,MT-CYB
Metals_and_cofactors,Metabolism.Metals_and_cofactors,MTARC1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,MTARC2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NADK2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NAXD
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NAXE
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NDUFAB1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NDUFS1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NDUFS2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NDUFS7
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NDUFS8
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NDUFV1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NDUFV2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NFS1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NFU1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NMNAT3
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NNT
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NOCT
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NTHL1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NUBPL
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NUDT13
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NUDT19
Metals_and_cofactors,Metabolism.Metals_and_cofactors,NUDT8
Metals_and_cofactors,Metabolism.Metals_and_cofactors,PANK2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,PCBD2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,PDSS1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,PDSS2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,PPOX
Metals_and_cofactors,Metabolism.Metals_and_cofactors,QDPR
Metals_and_cofactors,Metabolism.Metals_and_cofactors,RSAD1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SCO1
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SCO2
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SDHB
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SDHC
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SDHD
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SIRT3
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SIRT4
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SIRT5
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SLC25A20
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SLC25A28
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SLC25A3
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SLC25A37
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SLC25A38
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SLC25A42
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SLC25A51
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SLC25A52
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SPR
Metals_and_cofactors,Metabolism.Metals_and_cofactors,SUOX
Metals_and_cofactors,Metabolism.Metals_and_cofactors,TMLHE
Metals_and_cofactors,Metabolism.Metals_and_cofactors,UQCRFS1
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACAA2
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACACB
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACAD10
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACAD11
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACADL
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACADM
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACADS
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACADSB
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACADVL
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACAT1
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACOT11
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACSF2
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACSL1
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACSL6
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACSM1
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACSM2A
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACSM2B
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACSM3
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACSM4
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACSM5
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,ACSS1
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,AMACR
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,CPT1A
